instance,solver,success,soc,max_stretch,cpu_time
asymmetric_conflict.txt,Prioritized,True,37.0,1.4,0.0012971000105608255
asymmetric_conflict.txt,CBS_Standard,True,36.0,1.2857142857142858,0.010858499997993931
asymmetric_conflict.txt,CBS_Weighted_50,True,36.0,1.2857142857142858,0.0073050000064540654
asymmetric_conflict.txt,CBS_Bounded_2.0,True,36.0,1.2857142857142858,0.01531529999920167
asymmetric_conflict.txt,CBS_Bounded_1.5,True,36.0,1.2857142857142858,0.010708599991630763
asymmetric_conflict.txt,CBS_Bounded_1.3,True,36.0,1.2857142857142858,0.007710499980021268
asymmetric_conflict.txt,CBS_Bounded_1.2,False,,,60.0
random_scalability.txt,Prioritized,True,86.0,1.3,0.014290899998741224
random_scalability.txt,CBS_Standard,False,,,60.0
random_scalability.txt,CBS_Weighted_50,False,,,60.0
random_scalability.txt,CBS_Bounded_2.0,False,,,60.0
random_scalability.txt,CBS_Bounded_1.5,False,,,60.0
random_scalability.txt,CBS_Bounded_1.3,False,,,60.0
random_scalability.txt,CBS_Bounded_1.2,False,,,60.0
airport_mini.txt,Prioritized,True,63.0,1.0,0.0025791999942157418
airport_mini.txt,CBS_Standard,True,63.0,1.0,0.0007038999756332487
airport_mini.txt,CBS_Weighted_50,True,63.0,1.0,0.0007858999888412654
airport_mini.txt,CBS_Bounded_2.0,True,63.0,1.0,0.0007456999737769365
airport_mini.txt,CBS_Bounded_1.5,True,63.0,1.0,0.0006756000220775604
airport_mini.txt,CBS_Bounded_1.3,True,63.0,1.0,0.0007723000016994774
airport_mini.txt,CBS_Bounded_1.2,True,63.0,1.0,0.0009436999971512705
